Verb,Präteritum,Perfekt,du-Form,Example
erschrecken (intransitive),ich erschrak,ich bin erschrocken,du erschrickst,Sie erschrak vor dem Tiger.
erschrecken (transitive),ich erschreckte,ich habe erschreckt,du erschrekst,Sie erschreckte die Katze.
hängen (state),ich hing,ich bin gehangen,du hängst,Der Mantel hing am Haken.
hängen (action),ich hängte,ich habe gehängt,du hängst,Er hängte den Mantel auf.
wägen (ponder/weigh),ich wog/wägte,ich habe gewogen,du wägst,Du wägst die Kartoffeln.
wiegen (weight amount),ich wog,ich habe gewogen,du wiegst,"Du wiegst genau 45,2 kg.   "
